,condition_code,ocular_condition,contrastL,contrastR,frequencyL,frequencyR,videoL,videoR
0,1,MonL,0.06,0.0,0.5,0.0,STLAB_1/c0.06_f0.5.json,
1,2,MonL,0.12,0.0,0.5,0.0,STLAB_1/c0.12_f0.5.json,
2,3,MonL,0.24,0.0,0.5,0.0,STLAB_1/c0.24_f0.5.json,
3,4,MonL,0.48,0.0,0.5,0.0,STLAB_1/c0.48_f0.5.json,
4,5,MonL,0.96,0.0,0.5,0.0,STLAB_1/c0.96_f0.5.json,
5,6,MonR,0.0,0.06,0.0,0.5,,STLAB_2/c0.06_f0.5.json
6,7,MonR,0.0,0.12,0.0,0.5,,STLAB_2/c0.12_f0.5.json
7,8,MonR,0.0,0.24,0.0,0.5,,STLAB_2/c0.24_f0.5.json
8,9,MonR,0.0,0.48,0.0,0.5,,STLAB_2/c0.48_f0.5.json
9,10,MonR,0.0,0.96,0.0,0.5,,STLAB_2/c0.96_f0.5.json
10,11,Bin,0.06,0.06,0.5,0.5,STLAB_1/c0.06_f0.5.json,STLAB_2/c0.06_f0.5.json
11,11,Bin,0.06,0.06,0.5,0.5,STLAB_1/c0.06_f0.5.json,STLAB_2/c0.06_f0.5.json
12,12,Bin,0.12,0.12,0.5,0.5,STLAB_1/c0.12_f0.5.json,STLAB_2/c0.12_f0.5.json
13,12,Bin,0.12,0.12,0.5,0.5,STLAB_1/c0.12_f0.5.json,STLAB_2/c0.12_f0.5.json
14,13,Bin,0.24,0.24,0.5,0.5,STLAB_1/c0.24_f0.5.json,STLAB_2/c0.24_f0.5.json
15,13,Bin,0.24,0.24,0.5,0.5,STLAB_1/c0.24_f0.5.json,STLAB_2/c0.24_f0.5.json
16,14,Bin,0.48,0.48,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.48_f0.5.json
17,14,Bin,0.48,0.48,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.48_f0.5.json
18,15,Bin,0.96,0.96,0.5,0.5,STLAB_1/c0.96_f0.5.json,STLAB_2/c0.96_f0.5.json
19,15,Bin,0.96,0.96,0.5,0.5,STLAB_1/c0.96_f0.5.json,STLAB_2/c0.96_f0.5.json
20,16,DichL,0.06,0.48,0.5,0.5,STLAB_1/c0.06_f0.5.json,STLAB_2/c0.48_f0.5.json
21,17,DichL,0.12,0.48,0.5,0.5,STLAB_1/c0.12_f0.5.json,STLAB_2/c0.48_f0.5.json
22,18,DichL,0.24,0.48,0.5,0.5,STLAB_1/c0.24_f0.5.json,STLAB_2/c0.48_f0.5.json
23,19,DichL,0.48,0.48,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.48_f0.5.json
24,20,DichL,0.96,0.48,0.5,0.5,STLAB_1/c0.96_f0.5.json,STLAB_2/c0.48_f0.5.json
25,21,DichR,0.48,0.06,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.06_f0.5.json
26,22,DichR,0.48,0.12,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.12_f0.5.json
27,23,DichR,0.48,0.24,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.24_f0.5.json
28,24,DichR,0.48,0.48,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.48_f0.5.json
29,25,DichR,0.48,0.96,0.5,0.5,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.96_f0.5.json
30,26,MonXL,0.06,0.48,0.4,0.0,STLAB_1/c0.06_f0.4.json,
31,27,MonXL,0.12,0.48,0.4,0.0,STLAB_1/c0.12_f0.4.json,
32,28,MonXL,0.24,0.48,0.4,0.0,STLAB_1/c0.24_f0.4.json,
33,29,MonXL,0.48,0.48,0.4,0.0,STLAB_1/c0.48_f0.4.json,
34,30,MonXL,0.96,0.48,0.4,0.0,STLAB_1/c0.96_f0.4.json,
35,31,MonXR,0.48,0.06,0.0,0.4,,STLAB_2/c0.06_f0.4.json
36,32,MonXR,0.48,0.12,0.0,0.4,,STLAB_2/c0.12_f0.4.json
37,33,MonXR,0.48,0.24,0.0,0.4,,STLAB_2/c0.24_f0.4.json
38,34,MonXR,0.48,0.48,0.0,0.4,,STLAB_2/c0.48_f0.4.json
39,35,MonXR,0.48,0.96,0.0,0.4,,STLAB_2/c0.96_f0.4.json
40,36,BinX,0.06,0.06,0.4,0.5,STLAB_1/c0.06_f0.4.json,STLAB_2/c0.06_f0.5.json
41,37,BinX,0.12,0.12,0.4,0.5,STLAB_1/c0.12_f0.4.json,STLAB_2/c0.12_f0.5.json
42,38,BinX,0.24,0.24,0.4,0.5,STLAB_1/c0.24_f0.4.json,STLAB_2/c0.24_f0.5.json
43,39,BinX,0.48,0.48,0.4,0.5,STLAB_1/c0.48_f0.4.json,STLAB_2/c0.48_f0.5.json
44,40,BinX,0.96,0.96,0.4,0.5,STLAB_1/c0.96_f0.4.json,STLAB_2/c0.96_f0.5.json
45,41,BinX,0.06,0.06,0.5,0.4,STLAB_1/c0.06_f0.5.json,STLAB_2/c0.06_f0.4.json
46,42,BinX,0.12,0.12,0.5,0.4,STLAB_1/c0.12_f0.5.json,STLAB_2/c0.12_f0.4.json
47,43,BinX,0.24,0.24,0.5,0.4,STLAB_1/c0.24_f0.5.json,STLAB_2/c0.24_f0.4.json
48,44,BinX,0.48,0.48,0.5,0.4,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.48_f0.4.json
49,45,BinX,0.96,0.96,0.5,0.4,STLAB_1/c0.96_f0.5.json,STLAB_2/c0.96_f0.4.json
50,46,DichXL,0.06,0.48,0.5,0.4,STLAB_1/c0.06_f0.5.json,STLAB_2/c0.48_f0.4.json
51,47,DichXL,0.12,0.48,0.5,0.4,STLAB_1/c0.12_f0.5.json,STLAB_2/c0.48_f0.4.json
52,48,DichXL,0.24,0.48,0.5,0.4,STLAB_1/c0.24_f0.5.json,STLAB_2/c0.48_f0.4.json
53,49,DichXL,0.48,0.48,0.5,0.4,STLAB_1/c0.48_f0.5.json,STLAB_2/c0.48_f0.4.json
54,50,DichXL,0.96,0.48,0.5,0.4,STLAB_1/c0.96_f0.5.json,STLAB_2/c0.48_f0.4.json
55,51,DichXR,0.48,0.06,0.4,0.5,STLAB_1/c0.48_f0.4.json,STLAB_2/c0.06_f0.5.json
56,52,DichXR,0.48,0.12,0.4,0.5,STLAB_1/c0.48_f0.4.json,STLAB_2/c0.12_f0.5.json
57,53,DichXR,0.48,0.24,0.4,0.5,STLAB_1/c0.48_f0.4.json,STLAB_2/c0.24_f0.5.json
58,54,DichXR,0.48,0.48,0.4,0.5,STLAB_1/c0.48_f0.4.json,STLAB_2/c0.48_f0.5.json
59,55,DichXR,0.48,0.96,0.4,0.5,STLAB_1/c0.48_f0.4.json,STLAB_2/c0.96_f0.5.json
